Subject 1 2 3 4 5 6
1 1 -0.381601911789474 -0.693930521509434 -0.391919876612245 -0.987049617234043 -0.994671123207547 -0.9326606676
2 2 -0.558104554745763 -0.621820202916667 -0.343698985425532 -0.989632908913043 -0.977754298148148 -0.989492660416667
3 3 -0.549087007931034 -0.740033436271186 -0.624910820612245 -0.976689802692308 -0.957121510491803 -0.982568158064516
4 4 -0.757768081166667 -0.794209483076923 -0.685470931777778 -0.9762617538 -0.9664302175 -0.982543631666667
5 5 -0.455665300892857 -0.572485019787234 -0.487128422553191 -0.970675403409091 -0.946196462857143 -0.983434493076923
6 6 -0.408078906482456 -0.455937719019608 -0.145733545496458 -0.951196693454545 -0.952088499473684 -0.955504654561404
7 7 -0.0841663774087719 -0.704090967843137 -0.353544695678723 -0.97496593875 -0.971899418301887 -0.969403035384615
8 8 -0.581240190833333 -0.575733290731707 -0.26298447 -0.986147262608696 -0.981832336296296 -0.971793279814815
9 9 -0.624351923653846 -0.787781590816326 -0.485158906904762 -0.9659970148 -0.964770799111111 -0.9522904702
10 10 -0.517675799056604 -0.67129056212766 -0.544988519210526 -0.991409100925926 -0.965055815454545 -0.960772875517241
11 11 -0.773574064745763 -0.822428718888889 -0.714229669347826 -0.985607229245283 -0.992277468510638 -0.983569468245614
12 12 -0.5649340126 -0.733130764423077 -0.486780424347826 -0.979256387058824 -0.962909739016393 -0.961911612333333
13 13 -0.349285611070175 -0.712261499636364 -0.343094861202128 -0.991219445918367 -0.976467330175439 -0.972798632258065
14 14 -0.65567766220339 -0.564964076388889 -0.356849425488889 -0.987065177777778 -0.966019259166667 -0.963666018039216
15 15 -0.654010147222222 -0.793104483333333 -0.593472444285714 -0.989503941694915 -0.980329709433962 -0.972645710694444
16 16 -0.745726853921569 -0.825314327058824 -0.633479804680851 -0.987506348985507 -0.990672800769231 -0.988058401142857
17 17 -0.520385479180328 -0.7241557425 -0.643399203913044 -0.99362452375 -0.992177303589744 -0.981983437605634
18 18 -0.769408385535714 -0.860910992241379 -0.763430801654545 -0.994967621754386 -0.988407465205479 -0.992737961692308
19 19 -0.336148733 -0.58828966075 -0.143254547512821 -0.985416444657534 -0.982228582191781 -0.97932784746988
20 20 -0.171975765239216 -0.50282154372549 -0.281657285946667 -0.975226588333333 -0.927225720410959 -0.981986152941177
21 21 -0.429323466346154 -0.700980410425532 -0.571666834444444 -0.991062204823529 -0.977706619550562 -0.982305117444444
22 22 -0.476405270434783 -0.70987053452381 -0.697451438611111 -0.976318114516129 -0.965344726666667 -0.972789020833333
23 23 0.287834616098305 -0.632659461568627 -0.0398573780185185 -0.978499038088235 -0.973849691470588 -0.98158514125
24 24 -0.567447731896552 -0.653876950677966 -0.478030486181818 -0.990933058235294 -0.9797551 -0.980096981111111
25 25 -0.75738578027027 -0.841061012153846 -0.693032409137931 -0.992019559538462 -0.983098935945946 -0.970457947534247
26 26 -0.612930343220339 -0.669846294545455 -0.4894973794 -0.99420976974359 -0.983313996081081 -0.989628012236842
27 27 -0.639242384210526 -0.751714312941177 -0.502831373477273 -0.991967776285714 -0.988579092 -0.993552299324324
28 28 -0.589071730555556 -0.70485275745098 -0.464722244347826 -0.97839537 -0.955983424556962 -0.96931982125
29 29 -0.618667722641509 -0.756464186122449 -0.626675982083333 -0.994742028 -0.991516778307692 -0.99758523057971
30 30 -0.578580044615385 -0.791349425076923 -0.645503942419355 -0.990946424516129 -0.955008564237288 -0.975481548714286
